"source","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"HIÃ˜-MBVA402_cleaned","224","MBVA402","1","S","2023","12","1470","MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)","2023","HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"41,3","41,3","51,3","1","50","0","K","28",NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1001","MAT1011","3","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1001","MAT1015","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1003","REA3026","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1003","REA3001","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1003","MAT1011","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1004","MAT1005","4","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1004","MAT1001","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1005","MAT1015","GK","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1005","MAT1011","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1006","MAT1011","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1006","MAT1015","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1007","MAT1001","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1007","MAT1005","3","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1010","MAT1011","3","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1010","MAT1015","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1011","MAT1011","5","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HVL-MASB512-fag_cleaned","203","MASB512","1","S","2023","HØST","1011","MAT1015","4","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
